,Formula,composition,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System
mp-1056,Tb2O3,"{'Tb': 2.0, 'O': 3.0}",Ia3,-4.007,0,3.901,TRUE,620.129,40,FALSE,2276,7.837,cubic
mp-560190,Mo8O23,"{'Mo': 8.0, 'O': 23.0}",P2/c,-2.044,0,1.038,FALSE,1858.315,124,TRUE,,4.059,monoclinic
mp-753746,Rb2O,"{'Rb': 2.0, 'O': 1.0}",R3m,-1.12,0,0.458,TRUE,96.208,3,TRUE,,3.226,trigonal
mp-1605,Ag3O4,"{'Ag': 3.0, 'O': 4.0}",P21/c,-0.424,0,0,TRUE,196.383,14,FALSE,,6.555,monoclinic
mp-1959,PuO2,"{'Pu': 1.0, 'O': 2.0}",Fm3m,-3.628,0,0,TRUE,39.034,3,FALSE,,11.741,cubic
mp-2352,Na2O,"{'Na': 2.0, 'O': 1.0}",Fm3m,-1.439,0,1.873,TRUE,43.789,3,FALSE,,2.35,cubic
mp-27253,Au2O3,"{'Au': 2.0, 'O': 3.0}",Fdd2,-0.471,0,0.82,FALSE,141.033,10,FALSE,,10.407,orthorhombic
mp-1071163,TiO,"{'Ti': 1.0, 'O': 1.0}",P62m,-2.924,0,0,FALSE,62.86,6,FALSE,,5.061,hexagonal
mp-31050,Cl2O7,"{'Cl': 2.0, 'O': 7.0}",C2/c,-0.452,0,3.654,TRUE,298.691,18,FALSE,,2.034,monoclinic
mp-1224,HgO,"{'Hg': 1.0, 'O': 1.0}",Pnma,-0.65,0,1.191,TRUE,146.067,8,FALSE,,9.849,orthorhombic
mp-19009,NiO,"{'Ni': 1.0, 'O': 1.0}",Fm3m,-0.937,0,2.323,TRUE,37.157,4,FALSE,,6.676,cubic
mp-27561,Rb9O2,"{'Rb': 9.0, 'O': 2.0}",P21/m,-0.634,0,0,FALSE,1350.847,22,FALSE,,1.97,monoclinic
mp-505619,Ce11O20,"{'Ce': 11.0, 'O': 20.0}",P1,-3.96,0,0.001,FALSE,461.797,31,FALSE,,6.693,triclinic
